"HolderAddress","Balance","PendingBalanceUpdate"
"0x00ca19a08684333a33cca2de9e07cb14dc5a0ce8","308","No"
"0x0228e08bd0dcb68106c9c59c8c1723d017eab97d","34305.91","No"
"0x03e3361e3e7095b06c113b99c96819b363e2e150","198.59","No"
"0x054d45828639707978cc2066586b01c8a2224ecc","60","No"
"0x0690dead67a8c1b6159a8b10b315f2c2bf5bc845","150","No"
"0x06a84a718c0fc3812cb308a84e130ab383dbbe14","400","No"
"0x07165751ad2722a50a9daa0c5c7fdfe8a57ed15f","358.14","No"
"0x0816d4d508baebfa236f91db4a0ae7f226d12f99","657.78","No"
"0x090993d7d2f58349b2583070fbaed0d23a28b927","191.17","No"
"0x0a4e7a64d3b07f8b6729def33c831aa32f80eb4e","150","No"
"0x0ba61ecdaf2ccb933cc3b488c8117598ef0093cf","300","No"
"0x0cb442d50e9925ec946a50f9dab5066883e2d470","153","No"
"0x0d5817a19aafeb587dd6a269257ef9eb4289abcd","1903.39","No"
"0x0df156d9d77dc605973c3c4bf13752b87b61cc85","150","No"
"0x0e67f144f514e169d2280f4b7109ee0e42f90ccc","286","No"
"0x0ede802d5cbec880be9eecacc29a57be44702069","184","No"
"0x104d497eb3a2938a2166805f2373faa601cdfba3","258.03","No"
"0x1290a0875523e60fd555a5c4bf46eb046a2aee77","39164.87","No"
"0x12b5af8011133ad5b5f9e7ec3a33573ce58ef11f","25","No"
"0x13a27956a9d32caac01cf9da52f50360cdd20483","4652.9","No"
"0x14f7b47b03373151c11b38b1c13d95d2e967a324","336.95","No"
"0x15b2a33317a18cc93bb3a068ee244de3ac2887d0","288.26","No"
"0x170c23cc5f29209a38547f69c8598043c10abe44","367","No"
"0x172d64d2e408faacff3a1eae3045b2b5ca7482a1","6269.74","No"
"0x183a67e09c820555f2d36c56925e3881477cc2e4","757","No"
"0x189749a3dcf516cdd8e67350c1cfae979f1ccfad","150","No"
"0x196bd46fe0b188d699ed882ff1e2df11dcb03067","15384507.89","No"
"0x1a4a52eb4b63a1062caa251f542024b299f48f37","463.67","No"
"0x1a828c74a16474a38a8a35428dbd2b8de6e9e8b2","700","No"
"0x1c579e7a8f68bd7c91d700ad9cfde35bb5710cea","475","No"
"0x1e8aa9abbd73328d57f0a28d2d3c71c4d31c8d44","1300.93","No"
"0x1f24342dd780d232bd465b9244b4914803d748c7","1900","No"
"0x206bf2adea8fe11af0349af5628d48c1acab6cc5","370.39","No"
"0x20c4e1fcacc3529c71bf3af07731634a33a4d0e5","325","No"
"0x26a074d5c863ff06b0504466c72dd82286d2a8a6","4976.91","No"
"0x2a277cb0288ee70ce09caf79c9f4eea407a9c7e1","2789.72","No"
