"HolderAddress","Name","Balance","PendingBalanceUpdate"
"0x0228e08bd0dcb68106c9c59c8c1723d017eab97d","Phaedrus29","8698.27","No"
"0x03e3361e3e7095b06c113b99c96819b363e2e150","","198.59","No"
"0x0690dead67a8c1b6159a8b10b315f2c2bf5bc845","","150","No"
"0x0816d4d508baebfa236f91db4a0ae7f226d12f99","","598.05","No"
"0x090993d7d2f58349b2583070fbaed0d23a28b927","","183.6","No"
"0x1290a0875523e60fd555a5c4bf46eb046a2aee77","mathfreak2","7939.66","No"
"0x13a27956a9d32caac01cf9da52f50360cdd20483","","2362.82","No"
"0x196bd46fe0b188d699ed882ff1e2df11dcb03067","ghub_reserve","15913987.26","No"
"0x1a4a52eb4b63a1062caa251f542024b299f48f37","","462.77","No"
"0x1f24342dd780d232bd465b9244b4914803d748c7","Sapho","1600","No"
"0x206bf2adea8fe11af0349af5628d48c1acab6cc5","Frybouche","150","No"
"0x26a074d5c863ff06b0504466c72dd82286d2a8a6","","4209.18","No"
"0x2a277cb0288ee70ce09caf79c9f4eea407a9c7e1","MrSllim","1905.97","No"
"0x40af88b7c720cfe67547d6b5f70687d7f7c801f2","","1098.05","No"
"0x43097640710567e1cd0cf45a8806268113f4d4f1","","1554.22","No"
"0x4c64f8c897ff347921a12ea96195523c7cf5bd1a","","490.67","No"
"0x4fe3e8f76636b677f1e203eb0c0a3733e6ec6020","Corvus","14939.88","No"
"0x57cc626a0de7de3f4ec831c49f2a8a70720c0b8a","","2362.82","No"
"0x65cffed9926d512c5424325231c38cb759653523","YucaFrita","3474.75","No"
"0x66810c3d8fd14e5485bfaf2879be087be8a8e867","","150","No"
"0x6fd2e7d2c9e0f84f58c08ffb8ef396836e47d96c","","2380.34","No"
"0x78193fb17a55c172166f39dcec233836de1ed24b","Pachyderm","8982.8","No"
"0x7fba3fd5bf95a5a1c4ce7b691f64d94ea89287fd","","12550","No"
"0x8391c49c43cc0941c7e1b647ed706527d5b792da","","15900","No"
"0x8a6b919ff72b28d0d66bd1feba2d937c582d8c66","","1000","No"
"0x9090948fb74281f586cc175aa184f9768dcfaab2","","1193.31","No"
"0x916c357b657cdbb3d9ef2e1f200dbc079ec5f427","","150","No"
"0x93da7c130bc76568dca1cd6fe0eee1ef7d5d245c","Augment Echo","5816.14","No"
"0x9a3bc9ff044f12b92349f9c0e6bae5da8af731c5","Kaboom443","4589.15","No"
"0xa25f6deceb6567e82e62054f38c1a472744ffcbb","","843.76","No"
"0xa299c3291c7d2c038ff117555a9c8a2ab9ba4fb7","","570","No"
"0xa88482f6761d08f7edc50455b25f471794515353","","953.82","No"
"0xaaeddee8a8112ffdb798a02ca19a732e1434b6e6","","400","No"
"0xae59be528b8a33ba909a037eff12fe6496e7528b","","14845.07","No"
"0xb956df9bdb9742ace6be810f08519c84d032226e","Grimr0c","3815.36","No"
"0xc1d1a20f6648a5e42783cedc866babcf4637cf21","","6177.62","No"
"0xc23f61fa731822f01a96a7d792200f5bd5c86781","","70000","No"
"0xc3282ea372718b353b4801041fb1c8e4961ea79f","CasualLunatic12420","0.82","No"
"0xc8c618628a66e76ff02adaff9c4d28cff0cc00a1","BestLegend","862.56","No"
"0xcbafc87ef7cbdb7d818a23350daa5370b6b5fba1","Glitterpede","6464.03","No"
"0xcc5b3fa8993d64bb8951b85a584d34ff5f82c494","","691.07","No"
"0xcc7ce27d1058c0a58c2793fb71393af1a4ee79ce","ihbtony","362","No"
"0xd028877f3684cc0ed70ae80cbb100f6f523fc106","","782.75","No"
"0xd0871b88aec993c995f3268efb379f48d7ef0b57","","751.32","No"
"0xd148d66083e3a03685ca39b289e75df7f104423f","","1945.51","No"
"0xdaa8c8e050c4b6d124c06c814c26900ebb08b851","Carolus Magnus","1608.3","No"
"0xdc3d4edc43f5a909da14335f9a09c5e3185b88fa","Junebug","6685.89","No"
"0xdd7bf21b30bc7f8d91a43c3a395cff6bb12e635f","","150","No"
"0xe5fed348e8374bb04f4fa0de443d466b26e9cb7e","Agent Bahann","2170.39","No"
"0xe6607807ec230e9ef91b66dc36c33cc636ab3f96","sopholopho","1097.35","No"
"0xea21f784aa12c300c6d3b9ef6d34c86221731d7e","","184.55","No"
"0xed66e4d1d82dd9c1b66eec0ab7a629a39332e526","","11852.03","No"
"0xf02808a71d7dfdf1b4c0afc2d16ae736d012fac7","InstaKibs","2259.59","No"
"0xf142540cf84e496a1ebe705e8aa72993d1bf64ed","","881.07","No"
"0xf26c0dbe52db05eb11641021224d6cb7c7ce52d8","","150","No"
"0xfca0e8779993e4264d51802935bb0ab00a51afc7","ardyalligan","2644.09","No"
"0xff4ed242c0d3ea7f329eea51f47ea3513795779b","Ging","3388.75","No"
