"HolderAddress","Balance","PendingBalanceUpdate"
"0x0228e08bd0dcb68106c9c59c8c1723d017eab97d","20931.86","No"
"0x03e3361e3e7095b06c113b99c96819b363e2e150","198.59","No"
"0x054d45828639707978cc2066586b01c8a2224ecc","60","No"
"0x0690dead67a8c1b6159a8b10b315f2c2bf5bc845","150","No"
"0x06a84a718c0fc3812cb308a84e130ab383dbbe14","400","No"
"0x0816d4d508baebfa236f91db4a0ae7f226d12f99","602.55","No"
"0x090993d7d2f58349b2583070fbaed0d23a28b927","188.99","No"
"0x104d497eb3a2938a2166805f2373faa601cdfba3","253.79","No"
"0x1290a0875523e60fd555a5c4bf46eb046a2aee77","29658.26","No"
"0x13a27956a9d32caac01cf9da52f50360cdd20483","3367.02","No"
"0x14f7b47b03373151c11b38b1c13d95d2e967a324","263.22","No"
"0x15b2a33317a18cc93bb3a068ee244de3ac2887d0","288.26","No"
"0x172d64d2e408faacff3a1eae3045b2b5ca7482a1","861.34","No"
"0x196bd46fe0b188d699ed882ff1e2df11dcb03067","15725007.94","No"
"0x1a4a52eb4b63a1062caa251f542024b299f48f37","463.67","No"
"0x1f24342dd780d232bd465b9244b4914803d748c7","1900","No"
"0x206bf2adea8fe11af0349af5628d48c1acab6cc5","211.23","No"
"0x26a074d5c863ff06b0504466c72dd82286d2a8a6","4744.65","No"
"0x2a277cb0288ee70ce09caf79c9f4eea407a9c7e1","2300.83","No"
"0x3134ff9acba5789df6e9ce314f11a49953f30639","189.53","No"
"0x3d57276e13541bd471f2faace11fffcb27ec549c","162.64","No"
"0x40af88b7c720cfe67547d6b5f70687d7f7c801f2","17951.92","No"
"0x40dd8cf7f8fc5403f4c96a8f74fb254da94d3cd4","150.16","No"
"0x43097640710567e1cd0cf45a8806268113f4d4f1","1554.22","No"
"0x47070a5738a3c2b59b6e6de4550ac3614a10e9c7","30.17","No"
"0x4c64f8c897ff347921a12ea96195523c7cf5bd1a","492.58","No"
"0x4f7e721c5351727cf04718e325b9eb22a0bd16f1","32","No"
"0x4fe3e8f76636b677f1e203eb0c0a3733e6ec6020","27845.54","No"
"0x54d45828639707978cc2066586b01c8a2224ecc7","5476.47","No"
"0x54e1feab816f7c58f4ca9bc41da3708738e21111","742","No"
"0x57cc626a0de7de3f4ec831c49f2a8a70720c0b8a","3732.32","No"
"0x6122effa639967a1f9ad7cbdeeff8fc869f9a373","156.6","No"
"0x65cffed9926d512c5424325231c38cb759653523","33586.4","No"
"0x66810c3d8fd14e5485bfaf2879be087be8a8e867","150","No"
"0x6d7241ed4a55dcc58200469f3d13870b3136c03e","520.8","No"
"0x6fd2e7d2c9e0f84f58c08ffb8ef396836e47d96c","2737.43","No"
"0x78193fb17a55c172166f39dcec233836de1ed24b","9377.66","No"
"0x7bcdafe0f2c2e92d40585e3db3649a45b51cc002","150","No"
"0x7fba3fd5bf95a5a1c4ce7b691f64d94ea89287fd","8950","No"
"0x8391c49c43cc0941c7e1b647ed706527d5b792da","15900","No"
"0x8a6b919ff72b28d0d66bd1feba2d937c582d8c66","1000","No"
"0x8abe8f92e336e6a0338c39a22522565fa653a890","9450","No"
"0x8b29632da613c694148c6a2cbe42f1cf301f183f","550","No"
"0x8e3bd6a3775322468a2182c7944cbb44ff2bcab0","150.9","No"
"0x9090948fb74281f586cc175aa184f9768dcfaab2","1364.4","No"
"0x916c357b657cdbb3d9ef2e1f200dbc079ec5f427","1340.22","No"
"0x93da7c130bc76568dca1cd6fe0eee1ef7d5d245c","13216","No"
"0x9a3bc9ff044f12b92349f9c0e6bae5da8af731c5","5725.02","No"
"0x9d93011b18e9baa71fe563b83902fea76c6180e0","813","No"
"0x9da365816d27a4edd61e32684a2b8b4d7ba212b7","386.82","No"
"0xa25f6deceb6567e82e62054f38c1a472744ffcbb","1705.8","No"
"0xa299c3291c7d2c038ff117555a9c8a2ab9ba4fb7","570","No"
"0xa88482f6761d08f7edc50455b25f471794515353","1872.46","No"
"0xaaeddee8a8112ffdb798a02ca19a732e1434b6e6","400","No"
"0xac5a3031ca69790ce2170ce9079148a360fb1388","150","No"
"0xae59be528b8a33ba909a037eff12fe6496e7528b","21922.41","No"
"0xaf355d88aad92f481ac07cfd5e457d632ce32ede","150","No"
"0xaf5bfe8dc7dfd7b42b35d9c237356075228cd711","334.03","No"
"0xb956df9bdb9742ace6be810f08519c84d032226e","2696.57","No"
"0xc1d1a20f6648a5e42783cedc866babcf4637cf21","12949.47","No"
"0xc237cd2b07d2166b8ccde379947e15c1a060055d","154.48","No"
"0xc23f61fa731822f01a96a7d792200f5bd5c86781","70000","No"
"0xc3282ea372718b353b4801041fb1c8e4961ea79f","2736.29","No"
"0xc6c6fbd76571155e0406510fa0bfe2b4e69b01d4","15100","No"
"0xc8c618628a66e76ff02adaff9c4d28cff0cc00a1","1096.03","No"
"0xcbafc87ef7cbdb7d818a23350daa5370b6b5fba1","9329.59","No"
"0xcc5b3fa8993d64bb8951b85a584d34ff5f82c494","956.07","No"
"0xcc7ce27d1058c0a58c2793fb71393af1a4ee79ce","512","No"
"0xd028877f3684cc0ed70ae80cbb100f6f523fc106","782.75","No"
"0xd0871b88aec993c995f3268efb379f48d7ef0b57","751.32","No"
"0xd148d66083e3a03685ca39b289e75df7f104423f","1945.51","No"
"0xd361ea6a6228e9da01bc8dc26e464bbba49c9df1","985.07","No"
"0xd50355571b0b02a155e8c16e760be2cc31184394","50","No"
"0xd7c7544c42153b3168cec8321edf7a77957aaf27","150","No"
"0xdaa8c8e050c4b6d124c06c814c26900ebb08b851","2628.32","No"
"0xdc3d4edc43f5a909da14335f9a09c5e3185b88fa","7638.62","No"
"0xdcc7afb3b8829b6741c2ca835ea9fa660fc976af","2801.93","No"
"0xdd7bf21b30bc7f8d91a43c3a395cff6bb12e635f","339.13","No"
"0xde72451015ea78c63f816b83d7703c9be676e98c","150","No"
"0xe5fed348e8374bb04f4fa0de443d466b26e9cb7e","4074.2","No"
